date,amount
2021-12-17,0.0
2021-12-18,17091.89267534104312967
2021-12-19,133588.861795046925608995
2021-12-20,133600.515065514443343258
2021-12-21,133624.01585056160012453
2021-12-22,133643.348979265821385615
2021-12-23,133663.811469015843719038
2021-12-24,133681.891565921220363035
2021-12-25,133699.797476894761228832
2021-12-26,100286.641733281467571651
2021-12-27,133730.94789292592246384
2021-12-28,133748.945930431104050788
2021-12-29,133760.10875329207707343
2021-12-30,133784.861076236719365864
2021-12-31,133802.675084303143480591
2022-01-01,133820.694709147963616148
2022-01-02,133838.571837889440737028
